id1,id2,name_jaccard_3gram,name_token_jaccard,num_overlap,pack_type_eq,pack_mat_eq,net_close,match_score,weak_label
10134,10137,0.6818181818181818,0.5,0.0,1,0,0,0.3321631795443905,
2047,6818,0.6388888888888888,0.375,0.0,0,1,0,0.1676916396733608,
4741,7050,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
8775,8777,1.0,1.0,1.0,0,0,0,0.9969216244871861,1.0
5817,8472,1.0,1.0,0.0,0,0,0,0.9964266230576636,
7551,7642,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3184,3231,0.6666666666666666,0.6,0.0,1,1,0,0.8290914984569628,
20,606,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7158,7159,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2093,2440,1.0,1.0,0.0,0,0,0,0.9964266230576636,
959,2511,1.0,1.0,0.0,0,0,0,0.9964266230576636,
341,7602,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3300,4345,1.0,1.0,0.0,0,0,0,0.9964266230576636,
1292,1408,1.0,1.0,0.0,0,0,0,0.9964266230576636,
7687,7688,0.7083333333333334,0.6,0.0,0,0,0,0.3567183597027973,
5743,7210,0.8444444444444444,0.75,0.0,0,0,0,0.8809154826587093,
2446,7439,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1097,3384,0.6956521739130435,0.6,0.0,0,1,0,0.7028300550244537,
8616,8905,0.7941176470588235,0.7272727272727273,0.0,0,0,0,0.7894778570942211,
4359,6352,0.7941176470588235,0.6666666666666666,0.0,0,0,0,0.6912581895577579,
5856,6333,0.3111111111111111,0.3333333333333333,0.0,0,1,0,0.005931425281427614,0.0
2747,4169,0.2972972972972973,0.2857142857142857,0.0,0,0,0,0.0007217843498737262,0.0
2374,5119,0.8378378378378378,0.6666666666666666,0.0,0,0,0,0.7734946361028625,
2552,5391,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4651,8446,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2858,7383,1.0,1.0,0.0,0,0,0,0.9964266230576636,
7147,7185,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1949,7572,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2983,5577,0.8333333333333334,0.5714285714285714,0.0,0,1,0,0.8751242748770692,1.0
2203,2204,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
9878,9928,0.6875,0.5,0.0,1,1,0,0.7169401447504371,
4491,7410,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
8842,8844,1.0,1.0,0.0,0,0,0,0.9964266230576636,
764,6365,0.65,0.5,0.0,0,0,0,0.11879392520184108,
989,2511,1.0,1.0,0.0,0,0,0,0.9964266230576636,
289,622,0.8064516129032258,0.6666666666666666,0.0,0,0,0,0.7160799511462237,
2732,2733,0.8813559322033898,0.8,0.0,0,0,0,0.9417524946977016,
643,1120,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
209,4800,0.6153846153846154,0.5,0.0,1,1,0,0.5579930655299044,
5569,7215,0.8387096774193549,0.75,0.0,0,0,0,0.8749831326303911,
5577,5578,0.825,0.75,0.0,0,0,0,0.8597700743816722,
3283,8471,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4589,4720,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3176,3878,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7467,7513,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4105,6593,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3310,3878,1.0,1.0,0.0,0,0,0,0.9964266230576636,
5412,6450,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3915,4217,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3636,4802,0.625,0.5714285714285714,0.0,0,0,0,0.1628171743452604,
